type,name,has_yaml,has_function_py,has_config_default,description,source,depends_on,required,configured,notes
tool,file_deleter,True,True,True,Soft-delete a file by renaming it with a _deleted suffix,system,[],False,True,
tool,file_download,True,True,False,将工作区文件生成可下载链接，用户点击即可下载查看,system,,,True,
tool,file_reader,True,True,True,Read file contents or list directory entries,system,[],False,True,
tool,file_writer,True,True,True,Create or overwrite a file with content. File is written after user reviews and approves the preview.,system,[],False,True,
tool,handoff_to_sys,True,True,False,"当用户需要创建/修改/删除资源（工具、skill、模型），或需要写入 tools/skills/models 路径，
或当前工具集无法满足请求时调用。调用后任务将转交给系统工程师 Agent。
",system,,,True,
tool,image_understanding,False,False,True,,system,"[{'type': 'model', 'name': 'vlm'}]",False,True,CONFIG_STUB: no function.py
tool,manage_hooks,True,True,True,"Manage session lifecycle hooks. Hooks are external commands that run at specific session events (SessionStart, PreToolUse, PostToolUse, SessionEnd). Use 'list' to see current hooks, 'add' to register a new hook, 'remove' to delete a hook, 'update' to modify an existing hook. When a user wants automated actions (e.g., send email after tool execution, log to external service), register a PostToolUse hook with the appropriate command.",system,[],False,True,
tool,memory_store,True,True,True,"Long-term memory that persists across conversations. Read current memories, write new ones (with automatic backup), check storage stats, and compress memories. Use 'read' to see stored memories, 'write' to persist new memories (merges with existing), 'stats' to check storage usage, 'compress' to consolidate memories using a specified model.",system,[],False,True,
tool,model_manager,True,True,True,"Manage model resources: create, list, get, update, delete, test, and switch models. Use 'list' to see all configured models, 'create' to add a new model (quick_thinking, embedding, rerank, vision, tts, etc.), 'test' to verify connectivity, and 'switch' to change the active model.",system,[],False,True,
tool,model_switch,True,True,True,"Switch the active model at runtime. Session starts with quick_thinking (reasoning, fast). Call this tool when: (1) simple tasks → use quick_thinking, (2) complex tasks or task retried >3 rounds → switch to deep_thinking. Degradation: if target level is unavailable, the next higher level is used automatically.",system,[],False,True,
tool,ocr,False,False,True,,system,"[{'type': 'model', 'name': 'vlm'}]",False,True,CONFIG_STUB: no function.py
tool,resource_loader,True,True,True,"Activate or deactivate tools and skills on demand. Use 'list_active' to see available vs active tools, 'activate' to load tools discovered from skills, 'deactivate' to free resources. Kernel tools (file_reader, file_writer, file_deleter, resource_loader) cannot be deactivated.",system,[],False,True,
tool,resource_registrar,True,True,True,"Query and request configuration for system resources. Use 'check' to verify if a resource is configured, 'list_pending' to see all unconfigured resources, 'check_deps' to verify dependencies.",system,[],False,True,
tool,speech_output,False,False,True,,system,"[{'type': 'model', 'name': 'tts'}]",False,True,CONFIG_STUB: no function.py
tool,speech_understanding,False,False,True,,system,"[{'type': 'model', 'name': 'stt'}]",False,True,CONFIG_STUB: no function.py
tool,video_understanding,False,False,True,,system,[],False,True,CONFIG_STUB: no function.py
tool,web_fetch,True,True,True,通过 HTTP GET 获取网页内容，伪装浏览器 User-Agent，返回纯文本,system,[],False,True,
tool,web_search,False,False,True,,system,[],False,True,CONFIG_STUB: no function.py
skill,db_operator,True,N/A,True,"SQLite database operations — create tables, insert, update, query",system,[],False,True,
skill,error_handler,True,N/A,True,"Self-healing error handling — analyze tool errors, fix and retry",system,[],False,True,
skill,memory_compress,True,N/A,False,Compress and consolidate long-term memory to free up storage space. Run this when memory_store returns compression_needed=true (>=70% of 1MB) or during daily maintenance. Prefer using a quick_thinking (flash) model for compression.,system,,,True,
